,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description
8577,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
8583,METRONIDAZOLE,500,Intravenous,mg,STAT DOSE,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
8630,MORPHINE SULFATE,5,Intravenous,mg,BD,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
8721,DEXAMETHASONE BASE,8,Intravenous,mg,TDS,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
8736,METOCLOPRAMIDE,10,Intravenous,mg,BD,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
8737,METOCLOPRAMIDE,10,Intravenous,mg,BD,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
8740,METOCLOPRAMIDE,10,Intravenous,mg,8H,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
8741,METOCLOPRAMIDE,10,Intravenous,mg,8H,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
8742,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,QDS,Injection,20 mg/1ml,1000042,N,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
8873,MORPHINE SULFATE,10,Intravenous,mg,OM,Injection,10 mg/1ml,1014319,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
8979,AMIKACIN [:PAEDIATRIC],"1,300.00",Intravenous,mg,OD,Injection,100 mg/2ml,1004939,N,INFECTIONS,05.01.04,Pack,5,x 2mL
9032,LINEZOLID,600,Intravenous,mg,BD,Injection,600 mg/300ml,2004907,N,INFECTIONS,05.01.07,Bag,1,mL
9047,MORPHINE SULFATE,10,Intravenous,mg,4H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
9049,TOCILIZUMAB,480,Intravenous,mg,Once a week in the morning,Injection,80 mg/4ml,1017410,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Vial,1,mL
9109,TRANEXAMIC ACID,500,Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,5,x 5mL ampoule
9110,TRANEXAMIC ACID,500,Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,10,x 5mL ampoule
9247,DEXAMETHASONE BASE,6.6,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
9346,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
9347,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
9393,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
9394,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
9406,LORAZEPAM,1,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
9407,LORAZEPAM,1,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
9497,MORPHINE SULFATE,10,Intravenous,mg,TDS,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
9498,MORPHINE SULFATE,5,Intravenous,mg,TDS,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
9536,DEXAMETHASONE BASE,8,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
9662,DIGOXIN,100,Intravenous,microgram,OM,Injection,500 micrograms/2ml,2003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,5,x 2mL ampoule
9663,DIGOXIN,100,Intravenous,microgram,OM,Injection,500 micrograms/2ml,2003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,10,x 2mL ampoule
9686,PHYTOMENADIONE,5,Intravenous,mg,OD,Injection,10 mg/1ml,1007855,N,NUTRITION AND BLOOD,09.06.06,Pack,10,x 1mL ampoule
10149,ONDANSETRON,4,Intravenous,mg,TDS,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
10150,ONDANSETRON,8,Intravenous,mg,TDS,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
10219,LINEZOLID,600,Intravenous,mg,BD,Injection,600 mg/300ml,2004907,N,INFECTIONS,05.01.07,Bag,1,mL
10221,CO-TRIMOXAZOLE,"2,280.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
10222,CO-TRIMOXAZOLE,"2,280.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
10223,CO-TRIMOXAZOLE,"2,280.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
10225,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
10226,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
10387,ONDANSETRON,4,Intravenous,mg,6H,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
10388,ONDANSETRON,4,Intravenous,mg,6H,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
10426,ONDANSETRON,4,Intravenous,mg,OM,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
10427,ONDANSETRON,4,Intravenous,mg,OM,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
10452,PHENYTOIN SODIUM,100,Intravenous,mg,6H,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Pack,5,x 5mL ampoule
10453,PHENYTOIN SODIUM,100,Intravenous,mg,8H,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Pack,5,x 5mL ampoule
10454,PHENYTOIN SODIUM,100,Intravenous,mg,6H,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Carton,10,x 5mL ampoule
10455,PHENYTOIN SODIUM,100,Intravenous,mg,8H,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Carton,10,x 5mL ampoule
10806,DEXAMETHASONE BASE (HAMELN/HOSPIRA),6,Intravenous,mg,OM,Injection,6.6 mg/2ml,1014816,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 2mL
10807,DEXAMETHASONE BASE (HAMELN/HOSPIRA),6,Intravenous,mg,OM,Injection,6.6 mg/2ml,1014816,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 2mL
10962,GENTAMICIN,320,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
10963,GENTAMICIN,320,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
11099,MORPHINE SULFATE,5,Intravenous,mg,4H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
11175,MORPHINE SULFATE,2.5,Intravenous,mg,4H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
11188,CYCLIZINE,50,Intravenous,mg,QDS,Injection,50 mg/1ml,1003407,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
11189,CYCLIZINE,50,Intravenous,mg,TDS,Injection,50 mg/1ml,1003407,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
11264,ONDANSETRON,8,Intravenous,mg,BD,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
11278,DEXAMETHASONE BASE (HAMELN/HOSPIRA),6.6,Intravenous,mg,OM,Injection,6.6 mg/2ml,1014816,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 2mL
11279,DEXAMETHASONE BASE (HAMELN/HOSPIRA),6.6,Intravenous,mg,OM,Injection,6.6 mg/2ml,1014816,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 2mL
11313,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),300,Intravenous,mg,ON,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
11314,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),400,Intravenous,mg,OM,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
11439,PROCYCLIDINE,5,Intravenous,mg,BD,Injection,10 mg/2ml,1004606,N,CENTRAL NERVOUS SYSTEM,04.09.02,Pack,5,x 2mL ampoule
11557,ONDANSETRON,2,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
11558,ONDANSETRON,2,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
11651,DEXAMETHASONE BASE,6,Intravenous,mg,OD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
11752,GENTAMICIN,200,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
11753,GENTAMICIN,200,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
11830,FUROSEMIDE,20,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
11831,FUROSEMIDE,20,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
11840,FUROSEMIDE,20,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
11841,FUROSEMIDE,20,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
11865,DEXAMETHASONE BASE,6,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
11877,PHYTOMENADIONE,10,Intravenous,mg,ON,Injection,10 mg/1ml,1007855,N,NUTRITION AND BLOOD,09.06.06,Pack,10,x 1mL ampoule
12193,OXYCODONE,10,Intravenous,mg,QDS,Injection,10 mg/1ml,1014638,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,5,x 1mL ampoule
12286,CLINDAMYCIN,600,Intravenous,mg,BD,Injection,600 mg/4ml,9009050,N,INFECTIONS,05.01.06,Pack,5,x 4mL ampoule
12293,HYDROCORTISONE SODIUM PHOSPHATE,100,Intravenous,mg,QDS,Injection,100 mg/1ml,1014748,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 1mL ampoule
12325,HYDROCORTISONE SODIUM PHOSPHATE,200,Intravenous,mg,OM,Injection,100 mg/1ml,1014748,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 1mL ampoule
12343,MORPHINE SULFATE,10,Intravenous,mg,Every 2 hours,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
12359,FUROSEMIDE,40,Intravenous,mg,*2X AM/TEA-*2X AM/LU Transition Frequency,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
12360,FUROSEMIDE,40,Intravenous,mg,*2X AM/TEA-*2X AM/LU Transition Frequency,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
12481,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),500,Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
12544,ONDANSETRON,4,Intravenous,mg,BD,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
12545,ONDANSETRON,8,Intravenous,mg,BD,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
12583,DEXAMETHASONE BASE (HAMELN/HOSPIRA),8,Intravenous,mg,OM,Injection,6.6 mg/2ml,1014816,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 2mL
12584,DEXAMETHASONE BASE (HAMELN/HOSPIRA),8,Intravenous,mg,OM,Injection,6.6 mg/2ml,1014816,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 2mL
12676,GENTAMICIN,80,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12677,GENTAMICIN,80,Intravenous,mg,BD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12678,GENTAMICIN,120,Intravenous,mg,BD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12679,GENTAMICIN,100,Intravenous,mg,BD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12680,GENTAMICIN,80,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12681,GENTAMICIN,80,Intravenous,mg,BD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12682,GENTAMICIN,120,Intravenous,mg,BD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12683,GENTAMICIN,100,Intravenous,mg,BD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12722,TRAMADOL,100,Intravenous,mg,TDS,Injection,100 mg/2ml,2007322,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,5,x 2mL ampoule
12723,TRAMADOL,100,Intravenous,mg,TDS,Injection,100 mg/2ml,2007322,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 2mL ampoule
12788,DEXAMETHASONE BASE,6.6,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
12826,GENTAMICIN,240,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12827,GENTAMICIN,240,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12868,GENTAMICIN,380,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12869,GENTAMICIN,380,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12891,GENTAMICIN,60,Intravenous,mg,On alternate days at teatime,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12892,GENTAMICIN,60,Intravenous,mg,On alternate days at teatime,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12893,GENTAMICIN,60,Intravenous,mg,Every 36 hours,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12894,GENTAMICIN,60,Intravenous,mg,Every 36 hours,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12895,GENTAMICIN,60,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12896,GENTAMICIN,80,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12897,GENTAMICIN,60,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12898,GENTAMICIN,80,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12922,GENTAMICIN,320,Intravenous,mg,ON,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
12923,GENTAMICIN,320,Intravenous,mg,ON,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
12991,LORAZEPAM,0.5,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
12992,LORAZEPAM,0.5,Intravenous,mg,TDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
12993,LORAZEPAM,1,Intravenous,mg,TDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
12994,LORAZEPAM,0.5,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
12995,LORAZEPAM,0.5,Intravenous,mg,TDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
12996,LORAZEPAM,1,Intravenous,mg,TDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
13037,PHYTOMENADIONE,5,Intravenous,mg,OM,Injection,10 mg/1ml,1007855,N,NUTRITION AND BLOOD,09.06.06,Pack,10,x 1mL ampoule
13205,CO-TRIMOXAZOLE,"1,248.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
13206,CO-TRIMOXAZOLE,"1,248.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
13207,CO-TRIMOXAZOLE,"1,248.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
13450,PHENYTOIN SODIUM,270,Intravenous,mg,OM,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Pack,5,x 5mL ampoule
13451,PHENYTOIN SODIUM,270,Intravenous,mg,OM,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Carton,10,x 5mL ampoule
13568,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),"1,100.00",Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
13740,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),200,Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
13741,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),400,Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
13756,MORPHINE SULFATE,5,Intravenous,mg,Every 2 hours,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
13757,MORPHINE SULFATE,2.5,Intravenous,mg,Every 2 hours,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
13788,GENTAMICIN,200,Intravenous,mg,ON,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
13789,GENTAMICIN,200,Intravenous,mg,ON,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
13952,LORAZEPAM,1,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
13953,LORAZEPAM,1,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
13963,MORPHINE SULFATE,10,Intravenous,mg,TDS,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14048,LORAZEPAM,0.5,Intravenous,mg,ON,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
14049,LORAZEPAM,0.5,Intravenous,mg,ON,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
14186,MORPHINE SULFATE,2.5,Intravenous,mg,Every hour,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14236,METRONIDAZOLE,500,Intravenous,mg,"11:00, 19:00, 03:00",Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
14245,LORAZEPAM,0.5,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
14246,LORAZEPAM,0.5,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
14247,GENTAMICIN,400,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
14248,GENTAMICIN,400,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
14253,DEXAMETHASONE BASE,6.6,Intravenous,mg,OD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
14335,METRONIDAZOLE,500,Intravenous,mg,03:00,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
14501,ONDANSETRON,4,Intravenous,mg,8H,Injection,8 mg/4ml,1014234,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
14502,ONDANSETRON,8,Intravenous,mg,8H,Injection,8 mg/4ml,1014234,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
14619,MIDAZOLAM,2.5,Intravenous,mg,6H,Injection,5 mg/5ml,1014286,Y,ANAESTHESIA,15.01.04,Pack,10,x 5mL ampoule
14645,MORPHINE SULFATE,5,Intravenous,mg,TDS,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14841,MORPHINE SULFATE,20,Intravenous,mg,4H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14845,MORPHINE SULFATE,30,Intravenous,mg,QDS,Injection,10 mg/1ml,1014319,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14846,MORPHINE SULFATE,20,Intravenous,mg,QDS,Injection,10 mg/1ml,1014319,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14847,MORPHINE SULFATE,10,Intravenous,mg,QDS,Injection,10 mg/1ml,1014319,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14856,MORPHINE SULFATE,10,Intravenous,mg,OM,Injection,10 mg/1ml,1014319,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14858,MORPHINE SULFATE,5,Intravenous,mg,QDS,Injection,10 mg/1ml,1014319,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14859,MORPHINE SULFATE,20,Intravenous,mg,qds,Injection,10 mg/1ml,1014319,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
14974,NALOXONE,400,Intravenous,microgram,8H,Injection,400 micrograms/1ml,1013596,Y,ANAESTHESIA,15.01.07,Pack,10,x 1mL ampoule
14975,DEXAMETHASONE BASE,9.9,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
14992,HYDROCORTISONE SODIUM PHOSPHATE,60,Intravenous,mg,OM,Injection,100 mg/1ml,1014748,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 1mL ampoule
15029,LORAZEPAM,2,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
15030,LORAZEPAM,2,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
15031,LORAZEPAM,2,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
15032,LORAZEPAM,2,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
15049,HYOSCINE BUTYLBROMIDE,10,Intravenous,mg,TDS,Injection,20 mg/1ml,1000042,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
15137,PHENYTOIN SODIUM,125,Intravenous,mg,TDS,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Pack,5,x 5mL ampoule
15138,PHENYTOIN SODIUM,125,Intravenous,mg,TDS,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Carton,10,x 5mL ampoule
