,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,chapter,name
2277,NAPROXEN,250,Oral,mg,BD,Tablets,250 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,56,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2282,HYOSCINE BUTYLBROMIDE,10,Oral,mg,QDS,Tablets,10 mg,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,56,tablet,1.02,Antispasmodics and other drugs altering gut motility
2283,CABERGOLINE,0.5,Oral,mg,OM,Tablets,1 mg,N,CENTRAL NERVOUS SYSTEM,04.09.01,Pack,20,tablet,04.09.01,Dopaminergic drugs used in parkinsonism
2293,AMITRIPTYLINE,50,Oral,mg,ON,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
2294,AMITRIPTYLINE,100,Oral,mg,ON,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
2295,AMITRIPTYLINE,100,Oral,mg,ON,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
2311,NALOXEGOL,25,Oral,mg,OM,Tablets,12.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.06,Pack,30,tablet,01.06.06,Peripheral opioid-receptor antagonists
2312,FEXOFENADINE,180,Oral,mg,TDS,Tablets,180 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
2319,HALOPERIDOL,5,Oral,mg,BD,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
2326,LORAZEPAM,500,Oral,microgram,BD,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2327,PROPRANOLOL,10,Oral,mg,OD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.04,Bottle,28,tablet,2.04,Beta-adrenoceptor blocking drugs
2332,PROPRANOLOL,10,Oral,mg,TDS,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.04,Bottle,28,tablet,2.04,Beta-adrenoceptor blocking drugs
2333,PROPRANOLOL,10,Oral,mg,OM,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.04,Bottle,28,tablet,2.04,Beta-adrenoceptor blocking drugs
2338,SPIRONOLACTONE,100,Oral,mg,BD,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
2343,AMLODIPINE,5,NG,mg,OD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
2346,CODEINE PHOSPHATE,30,Oral,mg,8H,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
2348,CETIRIZINE,10,Oral,mg,OM,Tablets,10 mg,Y,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
2367,PROPRANOLOL,10,Oral,mg,TDS,Tablets,10 mg,Y,CARDIVASCULAR SYSTEM,2.04,Bottle,28,tablet,2.04,Beta-adrenoceptor blocking drugs
2368,NAPROXEN,250,Oral,mg,TDS,Tablets,250 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,28,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2369,NAPROXEN,250,Oral,mg,TDS,Tablets,250 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,56,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2374,NICORANDIL,20,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
2375,DOXAZOSIN,4,Oral,mg,BD,Tablets,4 mg,N,CARDIVASCULAR SYSTEM,02.05.04,Pack,28,tablet,02.05.04,Alpha-adrenoceptor blocking drugs
2376,DIAZEPAM,2,Oral,mg,QDS,Tablets,2 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2417,IBUPROFEN,400,Oral,mg,TDS,Tablets,200 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,24,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2418,IBUPROFEN,400,Oral,mg,TDS,Tablets,200 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2420,SPIRONOLACTONE,200,Oral,mg,OM,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
2426,CARBAMAZEPINE 'TEGRETOL',200,Oral,mg,BD,Tablets,200 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,84,Tablet,04.08.01,Control of epilepsy
2432,ZOLPIDEM,10,Oral,mg,ON,Tablets,5 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.01,Pack,28,tablet,04.01.01,Hypnotics
2435,LAMOTRIGINE,100,Oral,mg,BD,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
2436,ONDANSETRON,4,Oral,mg,TDS,Tablets,4 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,tablet,4.06,Drugs used in nausea and vertigo
2437,ONDANSETRON,4,Oral,mg,TDS,Tablets,4 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,30,tablet,4.06,Drugs used in nausea and vertigo
2438,NICORANDIL,30,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
2439,BISOPROLOL,2.5,Oral,mg,OD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
2440,LAMOTRIGINE,100,Oral,mg,BD,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
2442,METOCLOPRAMIDE,10,Oral,mg,8H,Tablets,10 mg,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,28,tablet,1.02,Antispasmodics and other drugs altering gut motility
2444,BISOPROLOL,5,Oral,mg,ON,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
2445,MORPHINE 'SEVREDOL',10,Oral,mg,TDS,Tablets,10 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,56,tablet,04.07.02,Opioid analgesics
2447,LAMOTRIGINE,100,Oral,mg,BD,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
2448,COLECALCIFEROL 'ACIFEROL D3',400,Oral,unit(s),BD,Tablets,400 units,N,NUTRITION AND BLOOD,09.06.04,Pack,90,tablet,09.06.04,Vitamin D
2449,NICORANDIL,30,Oral,mg,BD,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
2450,AMLODIPINE,5,Oral,mg,ON,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
2451,CYANOCOBALAMIN,50,Oral,microgram,OM,Tablets,50 microgram,N,NUTRITION AND BLOOD,09.01.02,Pack,50,tablet,09.01.02,Drugs used in megaloblastic anaemias
2453,NICORANDIL,10,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
2454,NICORANDIL,30,Oral,mg,OM,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
2455,LAMOTRIGINE,125,Oral,mg,BD,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
2457,SULFASALAZINE,"1,500.00",Oral,mg,BD,Tablets,500 mg,N,GASTRO-INTESTINAL SYSTEM,1.05,Pack,112,tablet,1.05,Chronic bowel disorders
2458,HYDROXYCHLOROQUINE,200,Oral,mg,BD,Tablets,200 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,60,tablet,10.01.03,Rheumatic disease suppressant drugs
2459,HYDROXYCHLOROQUINE,200,Oral,mg,BD,Tablets,200 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,60,tablet,10.01.03,Rheumatic disease suppressant drugs
2483,DIAZEPAM,2,Oral,mg,ON,Tablets,2 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2486,QUETIAPINE,12.5,Oral,mg,BD,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,60,tablet,04.02.01,Antipsychotic drugs
2489,LORAZEPAM,500,Sublingual,microgram,ON,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2493,ELTROMBOPAG,50,Oral,mg,OD,Tablets,25 mg,N,NUTRITION AND BLOOD,09.01.04,Pack,28,tablet,09.01.04,Drugs used in platelet disorders
2495,ELTROMBOPAG,25,Oral,mg,OD,Tablets,25 mg,N,NUTRITION AND BLOOD,09.01.04,Pack,28,tablet,09.01.04,Drugs used in platelet disorders
2498,MERCAPTOPURINE,25,Oral,mg,OM,Tablets,50 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.01.03,Bottle,25,tablet,08.01.03,Antimetabolites
2500,ALLOPURINOL,100,Oral,mg,TDS,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,28,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
2506,LAMOTRIGINE,150,Oral,mg,BD,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
2508,PARACETAMOL ,"1,000.00",Oral,mg,QDS,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
2509,PARACETAMOL ,"1,000.00",Oral,mg,QDS,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
2510,NAPROXEN,500,Oral,mg,BD,Tablets,500 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,28,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2518,DIAZEPAM,4,Oral,mg,ON,Tablets,2 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2526,ALLOPURINOL,100,Oral,mg,OD,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,28,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
2529,METHYLDOPA,250,Oral,mg,BD,Tablets,250 mg,N,CARDIVASCULAR SYSTEM,02.05.02,Pack,56,tablet,02.05.02,Centrally-acting antihypertensive drugs
2532,TRANEXAMIC ACID,500,Oral,mg,QDS,Tablets,500 mg,N,CARDIVASCULAR SYSTEM,2.11,Bottle,60,tablet,2.11,Antifibrinolytic drugs and haemostatics
2534,MEFENAMIC ACID,500,Oral,mg,TDS,Tablets,500 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,28,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2535,MEFENAMIC ACID,500,Oral,mg,TDS,Tablets,500 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2536,MEFENAMIC ACID,500,Oral,mg,TDS,Tablets,500 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,100,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
2543,PRAVASTATIN,10,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
2544,FAMOTIDINE,40,Oral,mg,OM,Tablets,20 mg,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,28,tablet,01.03.01,H2-receptor antagonists
2545,FAMOTIDINE,40,Oral,mg,ON,Tablets,20 mg,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,28,tablet,01.03.01,H2-receptor antagonists
2550,AMITRIPTYLINE,10,Oral,mg,OD,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
4544,CODEINE PHOSPHATE,30,Oral,mg,1-2 Four times a day,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
2556,HYDROCORTISONE,5,Oral,mg,ON,Tablets,10 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,tablet,06.03.02,Glucocorticoid therapy
2558,HYDROCORTISONE,10,Oral,mg,BD,Tablets,10 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,tablet,06.03.02,Glucocorticoid therapy
2560,HYDROCORTISONE,5,Oral,mg,OD,Tablets,10 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,tablet,06.03.02,Glucocorticoid therapy
2564,ISOSORBIDE MONONITRATE,30,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.01,Pack,56,tablet,02.06.01,Nitrates
2566,ISOSORBIDE MONONITRATE,10,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.01,Pack,56,tablet,02.06.01,Nitrates
2567,ISOSORBIDE MONONITRATE,20,Oral,mg,BD,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,02.06.01,Bottle,56,tablet,02.06.01,Nitrates
2568,DAPAGLIFLOZIN,5,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.01.02,Pack,28,tablet,06.01.02,Antidiabetic drugs
2578,BISOPROLOL,10,Oral,mg,OM,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
2579,LERCANIDIPINE,20,Oral,mg,OM,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
2585,DIAZEPAM,5,Oral,mg,ON,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2586,DIAZEPAM,2,Oral,mg,OD,Tablets,2 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2590,CIPROFLOXACIN,500,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
2591,CIPROFLOXACIN,500,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,20,tablet,05.01.12,Quinolones
2592,PRAMIPEXOLE,264,Oral,microgram,ON,Tablets,88 microgram,N,CENTRAL NERVOUS SYSTEM,04.09.01,Pack,30,tablet,04.09.01,Dopaminergic drugs used in parkinsonism
2604,NALOXEGOL,12.5,Oral,mg,OM,Tablets,12.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.06,Pack,30,tablet,01.06.06,Peripheral opioid-receptor antagonists
2608,LORAZEPAM,500,Oral,microgram,BD,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2609,VENLAFAXINE,75,Oral,mg,BD,Tablets,75 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,56,tablet,04.03.04,Other antidepressant drugs
2610,SULFASALAZINE,"1,000.00",Oral,mg,BD,Tablets,500 mg,N,GASTRO-INTESTINAL SYSTEM,1.05,Pack,112,tablet,1.05,Chronic bowel disorders
2612,CIMETIDINE,400,Oral,mg,BD,Tablets,400 mg,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,60,tablet,01.03.01,H2-receptor antagonists
2615,CODEINE PHOSPHATE,15,Oral,mg,QDS,Tablets,15 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
2629,NEFOPAM,60,Oral,mg,BD,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,90,tablet,04.07.01,Non-opioid analgesics and compound preparations
2630,NEFOPAM,30,Oral,mg,BD,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,90,tablet,04.07.01,Non-opioid analgesics and compound preparations
2633,HALOPERIDOL,500,Oral,microgram,OM,Tablets,500 microgram,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
2634,DIAZEPAM,5,Oral,mg,BD,Tablets,5 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2636,COLESEVELAM,625,Oral,mg,BD,Tablets,625 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,180,Tablet,2.12,Lipid-regulating drugs
2641,ROSUVASTATIN,10,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
2645,LEVOFLOXACIN,500,Oral,mg,BD,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
2646,VERAPAMIL,40,Oral,mg,BD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,84,tablet,02.06.03,Other antianginal drugs
2650,TRAZODONE,150,Oral,mg,ON,Tablets,150 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
2651,DOXAZOSIN,1,Oral,mg,BD,Tablets,1 mg,N,CARDIVASCULAR SYSTEM,02.05.04,Pack,28,tablet,02.05.04,Alpha-adrenoceptor blocking drugs
2652,PROCYCLIDINE,5,Oral,mg,OM,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,04.09.02,Pack,28,tablet,04.09.02,Antimuscarinic drugs used in parkinsonism
2653,HALOPERIDOL,1.5,Oral,mg,BD,Tablets,1.5 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
2654,HALOPERIDOL,3,Oral,mg,BD,Tablets,1.5 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
2657,DEMECLOCYCLINE,450,Oral,mg,BD,Tablets,150 mg,N,INFECTIONS,05.01.03,Pack,100,tablet,05.01.03,Tetracyclines
2663,HALOPERIDOL,3,Oral,mg,BD,Tablets,1.5 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
2664,TOPIRAMATE,100,Oral,mg,OM,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
2665,PROMETHAZINE HYDROCHLORIDE,10,Oral,mg,ON,Tablets,10 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,56,tablet,03.04.01,Antihistamines
2666,SERTRALINE,200,Oral,mg,ON,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
2675,TOPIRAMATE,50,Oral,mg,OM,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
2676,TOPIRAMATE,50,Oral,mg,OD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
2677,PRIMIDONE,250,Oral,mg,OM,Tablets,250 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,100,tablet,04.08.01,Control of epilepsy
2678,OLANZAPINE,20,Oral,mg,ON,Tablets,20 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
2684,AMLODIPINE,2.5,Oral,mg,OM,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
2700,TRANEXAMIC ACID,"1,000.00",Oral,mg,OM,Tablets,500 mg,N,CARDIVASCULAR SYSTEM,2.11,Bottle,60,tablet,2.11,Antifibrinolytic drugs and haemostatics
2707,CIPROFLOXACIN,500,Oral,mg,BD,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
2708,CIPROFLOXACIN,500,Oral,mg,BD,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,20,tablet,05.01.12,Quinolones
2709,CIPROFLOXACIN,500,Oral,mg,BD,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,100,tablet,05.01.12,Quinolones
2721,ATORVASTATIN,40,Oral,mg,ON,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
2723,TENOFOVIR,245,Oral,mg,OM,Tablets,245 mg,N,INFECTIONS,05.03.01,Pack,30,tablet,05.03.01,HIV infection
2730,TRIMETHOPRIM,200,Oral,mg,BD,Tablets,100 mg,N,INFECTIONS,05.01.08,Pack,28,tablet,05.01.08,Sulfonamides and trimethoprim
2735,THIAMINE,100,Oral,mg,TDS,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.02,Pack,28,tablet,09.06.02,Vitamin B group
2736,THIAMINE,100,Oral,mg,TDS,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.02,Bottle,100,tablet,09.06.02,Vitamin B group
2741,PARACETAMOL ,"1,000.00",Oral,mg,BD,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
2742,PARACETAMOL ,"1,000.00",Oral,mg,BD,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
2752,ZOPICLONE,7.5,Oral,mg,ON,Tablets,3.75 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.01,Pack,28,tablet,04.01.01,Hypnotics
2753,LORAZEPAM,500,Oral,microgram,BD,Tablets,1 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2756,PRIMIDONE,100,Oral,mg,BD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,1,tablet,04.08.01,Control of epilepsy
2757,PRIMIDONE,100,Oral,mg,BD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,100,tablet,04.08.01,Control of epilepsy
2759,EDOXABAN,60,Oral,mg,OD,Tablets,60 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,28,Tablet,02.08.02,Oral anticoagulants
2760,EZETIMIBE,10,Oral,mg,OD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
2765,EDOXABAN,60,Oral,mg,ON,Tablets,60 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,28,Tablet,02.08.02,Oral anticoagulants
2780,COLECALCIFEROL ,1,Oral,tablet,OM,Tablets,1000 units,N,NUTRITION AND BLOOD,09.06.04,Pack,28,tablet,09.06.04,Vitamin D
2781,SODIUM FUSIDATE,500,Oral,mg,TDS,Tablets,250 mg,N,INFECTIONS,05.01.07,Bottle,100,tablet,05.01.07,Some other antibacterials
2795,PROPRANOLOL,20,Oral,mg,TDS,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.04,Bottle,28,tablet,2.04,Beta-adrenoceptor blocking drugs
2803,METRONIDAZOLE,500,Oral,mg,8H,Tablets,200 mg,N,INFECTIONS,05.01.11,Bottle,21,tablet,05.01.11,"Metronidazole, tinidazole and ornidazole"
2804,METRONIDAZOLE,500,Oral,mg,8H,Tablets,200 mg,N,INFECTIONS,05.01.11,Pack,250,tablet,05.01.11,"Metronidazole, tinidazole and ornidazole"
2810,LEVOTHYROXINE SODIUM,50,PO / NG / PEG,microgram,OM,Tablets,50 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
2820,TRIMETHOPRIM,100,Oral,mg,BD,Tablets,200 mg,N,INFECTIONS,05.01.08,Pack,14,tablet,05.01.08,Sulfonamides and trimethoprim
2829,PARACETAMOL ,"1,000.00",Oral,mg,8H,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
2830,PARACETAMOL ,"1,000.00",Oral,mg,8H,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
2836,PREDNISOLONE,3,Oral,mg,OM,Tablets,1 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
2845,AMLODIPINE,5,Oral,mg,OD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
2846,AMLODIPINE,10,Oral,mg,OD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
2847,DAPSONE,150,Oral,mg,OD,Tablets,50 mg,N,INFECTIONS,05.01.10,Pack,28,tablet,05.01.10,Antileprotic drugs
2854,LAMOTRIGINE,100,Oral,mg,QDS,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
2855,LORAZEPAM,"1,000.00",Oral,microgram,BD,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
2856,COLESEVELAM,625,Oral,mg,OM,Tablets,625 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,180,Tablet,2.12,Lipid-regulating drugs
2857,ONDANSETRON,4,Oral,mg,QDS,Tablets,4 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,tablet,4.06,Drugs used in nausea and vertigo
2858,ONDANSETRON,4,Oral,mg,QDS,Tablets,4 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,30,tablet,4.06,Drugs used in nausea and vertigo
2863,CIPROFLOXACIN,250,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
2864,CIPROFLOXACIN,250,Oral,mg,OM,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
2865,CIPROFLOXACIN,250,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,20,tablet,05.01.12,Quinolones
2866,CIPROFLOXACIN,250,Oral,mg,OM,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,20,tablet,05.01.12,Quinolones
