drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,strength
RISPERIDONE,0.25,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
RISPERIDONE,0.25,Oral,mg,OM,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
MEMANTINE,15,Oral,mg,OM,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,50,mL,"['10 mg', 'ml']"
MEMANTINE,15,Oral,mg,OM,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,100,mL,"['10 mg', 'ml']"
MEBEVERINE,35,Oral,mg,TDS,Liquid,50 mg/5ml,9006284,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,300,mL,"['50 mg', '5ml']"
KETAMINE (ORANGE),15,Oral,mg,8H,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
OXYCODONE,5,Oral,mg,Every hour,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
GLYCOPYRRONIUM [:EXTEMP],200,Oral,microgram,8H,Oral Solution,1 mg/10mL,1019580,Y,ANAESTHESIA,15.01.03,Batch,40,mL,"['1 mg', '10mL']"
DEXAMETHASONE,"6,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,"6,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
SODIUM FEREDETATE,5,Oral,mL,TDS,Oral Solution Sugar Free,190 mg/5ml,1002721,N,NUTRITION AND BLOOD,09.01.01.01,Bottle,500,mL,"['190 mg', '5ml']"
RISPERIDONE,2,Oral,mg,OD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
SODIUM FEREDETATE,5,Oral,mL,TDS,Oral Solution Sugar Free,190 mg/5ml,1002721,N,NUTRITION AND BLOOD,09.01.01.01,Bottle,500,mL,"['190 mg', '5ml']"
GLYCOPYRRONIUM [:EXTEMP],200,Oral,microgram,TDS,Oral Solution,1 mg/10mL,1019580,N,ANAESTHESIA,15.01.03,Batch,40,mL,"['1 mg', '10mL']"
RISPERIDONE,2,Oral,mg,OM,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
SODIUM FEREDETATE,5,Oral,mL,TDS,Oral Solution Sugar Free,190 mg/5ml,1002721,N,NUTRITION AND BLOOD,09.01.01.01,Bottle,500,mL,"['190 mg', '5ml']"
MORPHINE SULFATE,7.5,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,7.5,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
METHADONE,45,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,45,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
FOLIC ACID,5,Oral,mg,Once a week on a Friday morning,Oral Solution Sugar Free,2.5 mg/5ml,1003508,N,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
MORPHINE SULFATE,8,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,8,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,1.25,Oral,mg,Every 2 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
LEVETIRACETAM,250,Oral,mg,BD,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
PROMAZINE,100,Oral,mg,ON,Oral Solution,50 mg/5ml,2004614,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,150,mL,"['50 mg', '5ml']"
PROMAZINE,50,Oral,mg,ON,Oral Solution,50 mg/5ml,2004614,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,150,mL,"['50 mg', '5ml']"
METHADONE,30,Oral,mg,12H,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,30,Oral,mg,12H,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
ARIPIPRAZOLE,2.5,Oral,mg,OD,Oral Solution,1 mg/ml,1014164,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['1 mg', 'ml']"
ARIPIPRAZOLE,7.5,Oral,mg,ON,Oral Solution,1 mg/ml,1014164,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['1 mg', 'ml']"
ARIPIPRAZOLE,7.5,Oral,mg,OM,Oral Solution,1 mg/ml,1014164,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['1 mg', 'ml']"
FUROSEMIDE,20,Oral,mg,OM,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
TRAZODONE,100,Oral,mg,OD,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
TRAZODONE,100,Oral,mg,OM,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
SERTRALINE,100,Oral,mg,OM,Oral Suspension,50 mg/5ml,1013840,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['50 mg', '5ml']"
TRAZODONE,50,Oral,mg,TDS,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
TRAZODONE,50,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
METHADONE (contains sugar),50,Oral,mg,OM,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
PARACETAMOL SUGAR FREE,500,Oral,mg,TDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
PROMAZINE,25,Oral,mg,QDS,Oral Solution,50 mg/5ml,2004614,Y,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,150,mL,"['50 mg', '5ml']"
METHADONE,70,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,70,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
MORPHINE SULFATE,2.5,NG,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,NG,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PARACETAMOL,500,Oral,mg,4H,Oral Suspension,250 mg/5ml,2004531,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
OXYBUTYNIN,"5,000.00",Oral,microgram,QDS,Oral Solution,2.5 mg/5ml,1019608,Y,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Bottle,150,mL,"['2.5 mg', '5ml']"
OXYCODONE,12.5,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
LORAZEPAM,0.5,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,2004007,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Batch,50,mL,"['5 mg', '5ml']"
LORAZEPAM,0.5,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,2004007,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,150,mL,"['5 mg', '5ml']"
TRAZODONE,25,Oral,mg,OD,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,5,NG / PEG,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,NG / PEG,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
SODIUM FEREDETATE,10,Oral,mL,TDS,Oral Solution Sugar Free,190 mg/5ml,1002721,N,NUTRITION AND BLOOD,09.01.01.01,Bottle,500,mL,"['190 mg', '5ml']"
CHLORPHENAMINE,"4,000.00",Oral,microgram,6H,Oral Solution Sugar Free,2 mg/5ml,3003306,Y,RESPIRATORY SYSTEM,03.04.01,Bottle,150,mL,"['2 mg', '5ml']"
CARBOCISTEINE,750,NG,mg,BD,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
MORPHINE SULFATE,25,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,25,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
KETAMINE (ORANGE),30,Oral,mg,QDS,Oral Solution,50 mg/5ml,1019238,N,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
ALENDRONIC ACID [:OLD],70,Oral,mg,Once a week at 6am,Oral Solution Sugar Free,70 mg/100ml,9008066,N,ENDOCRINE SYSTEM,06.06.02,Pack,100,mL,"['70 mg', '100ml']"
BUMETANIDE,"1,000.00",Oral,microgram,OM,Oral Solution,1 mg/5ml,3004063,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['1 mg', '5ml']"
FLUCLOXACILLIN,"1,000.00",NG,mg,6H,Oral Solution,250 mg/5ml,1002884,N,INFECTIONS,05.01.01.02,Bottle,100,mL,"['250 mg', '5ml']"
FERROUS FUMARATE,210,NG,mg,TDS,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
DIGOXIN PAEDIATRIC,125,NG,microgram,OM,Oral Solution,50 micrograms/1ml,1003618,N,CARDIVASCULAR SYSTEM,02.01.01,Bottle,60,mL,"['50 micrograms', '1ml']"
BUMETANIDE,"1,000.00",NG,microgram,BD,Oral Solution,1 mg/5ml,3004063,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['1 mg', '5ml']"
LEVOTHYROXINE,150,PO / NG / PEG,microgram,OM,Oral Solution,100 micrograms/5ml,1014344,N,ENDOCRINE SYSTEM,06.02.01,Pack,100,mL,"['100 micrograms', '5ml']"
FOLIC ACID,10,Oral,mg,Once a week on a Friday morning,Oral Solution Sugar Free,2.5 mg/5ml,1003508,Y,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
OXYCODONE,1.25,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
AZITHROMYCIN,240,Oral,mg,OM,Oral Suspension,200 mg/5ml,2005476,N,INFECTIONS,05.01.05,Pack,30,mL,"['200 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,20,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,20,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
CARBOCISTEINE,375,Oral,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
BACLOFEN,10,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
CARBAMAZEPINE 'TEGRETOL',500,Oral,mg,BD,Oral Suspension,100 mg/5ml,1003114,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['100 mg', '5ml']"
CARBAMAZEPINE 'TEGRETOL',600,Oral,mg,OM,Oral Suspension,100 mg/5ml,1003114,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['100 mg', '5ml']"
FLUOXETINE,50,Oral,mg,OM,Oral Solution,20 mg/5ml,2005552,N,CENTRAL NERVOUS SYSTEM,04.03.03,Bottle,70,mL,"['20 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PROCYCLIDINE,5,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,3004606,N,CENTRAL NERVOUS SYSTEM,04.09.02,Bottle,150,mL,"['5 mg', '5ml']"
PHENYTOIN,345,Oral,mg,OM,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,250,mL,"['30 mg', '5ml']"
PHENYTOIN,345,Oral,mg,OM,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,500,mL,"['30 mg', '5ml']"
OXYCODONE,5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
FERROUS FUMARATE,280,Oral,mg,BD,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
MORPHINE SULFATE,1.5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,1.5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
CLOZAPINE,105,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,200,mL,"['100 mg', '5ml']"
CLOZAPINE,105,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,300,mL,"['100 mg', '5ml']"
CLOZAPINE,75,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,200,mL,"['100 mg', '5ml']"
CLOZAPINE,75,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,300,mL,"['100 mg', '5ml']"
CLOZAPINE,60,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,200,mL,"['100 mg', '5ml']"
CLOZAPINE,60,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,300,mL,"['100 mg', '5ml']"
CLOZAPINE,30,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,200,mL,"['100 mg', '5ml']"
CLOZAPINE,30,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,300,mL,"['100 mg', '5ml']"
CLOZAPINE,15,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,200,mL,"['100 mg', '5ml']"
CLOZAPINE,15,Oral,mg,OD,Oral Solution,100 mg/5ml,1017200,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,300,mL,"['100 mg', '5ml']"
CLONAZEPAM,"1,000.00",Oral,microgram,QDS,Oral Solution Sugar Free,500 micrograms/5ml,1013395,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['500 micrograms', '5ml']"
BUMETANIDE,500,Oral,microgram,OM,Oral Solution,1 mg/5ml,3004063,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['1 mg', '5ml']"
SODIUM PICOSULFATE,5,Oral,mg,OD,Oral Solution,5 mg/5ml,1004727,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,100,mL,"['5 mg', '5ml']"
CARBOCISTEINE,750,Oral,mg,BD,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
RISPERIDONE,5,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
RISPERIDONE,0.5,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
CLARITHROMYCIN,500,PEG,mg,BD,Oral Suspension,250 mg/5ml,9005628,N,INFECTIONS,05.01.05,Pack,1,mL,"['250 mg', '5ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],2,Oral,mg,Once a week on a Sunday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,35,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],2,Oral,mg,Once a week on a Sunday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Bottle,65,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],2,Oral,mg,Once a week on a Sunday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,1,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],8,Oral,mg,Once a week on a Saturday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,35,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],8,Oral,mg,Once a week on a Saturday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Bottle,65,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],8,Oral,mg,Once a week on a Saturday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,1,mL,"['2 mg', 'ml']"
FOLIC ACID,1,Oral,mg,SIX TIMES A WEEK NOT ON DAY OF METHOTREXATE,Oral Solution Sugar Free,2.5 mg/5ml,1003508,N,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
SODIUM VALPROATE,"1,000.00",Oral,mg,TDS,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
FERROUS FUMARATE,210,Oral,mg,BD,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
SERTRALINE,50,NG,mg,OM,Oral Suspension,50 mg/5ml,1013840,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['50 mg', '5ml']"
PARACETAMOL SUGAR FREE,"1,000.00",NG,mg,QDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
LEVETIRACETAM,250,NG,mg,BD,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
CLARITHROMYCIN,125,Oral,mg,BD,Oral Suspension,125 mg/5ml,9005627,N,INFECTIONS,05.01.05,Bottle,70,mL,"['125 mg', '5ml']"
MELATONIN,2,Oral,mg,ON,Oral Solution,5 mg/5ml,1018379,N,CENTRAL NERVOUS SYSTEM,04.01.01,Bottle,150,mL,"['5 mg', '5ml']"
MELATONIN,2,Oral,mg,ON,Oral Solution,5 mg/5ml,1018379,N,CENTRAL NERVOUS SYSTEM,04.01.01,Bottle,200,mL,"['5 mg', '5ml']"
FUROSEMIDE,40,Oral,mg,BD,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
OXYCODONE,7.5,Oral,mg,4H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,5,Oral,mg,Five times a day,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
HYDROCHLOROTHIAZIDE,12.5,Oral,mg,OM,Oral Suspension,50 mg/5ml,1019854,N,CARDIVASCULAR SYSTEM,02.02.01,Bottle,50,mL,"['50 mg', '5ml']"
HYDROCHLOROTHIAZIDE,12.5,Oral,mg,OM,Oral Suspension,50 mg/5ml,1019854,N,CARDIVASCULAR SYSTEM,02.02.01,Pack,100,mL,"['50 mg', '5ml']"
HYDROCHLOROTHIAZIDE,12.5,Oral,mg,OM,Oral Suspension,50 mg/5ml,1019854,N,CARDIVASCULAR SYSTEM,02.02.01,Pack,500,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,AS DIRECTED BY PRESCRIBER,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,AS DIRECTED BY PRESCRIBER,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
CEFALEXIN,5,Oral,mg,ON,Oral Suspension,125 mg/5ml,1003163,N,INFECTIONS,05.01.02,Bottle,100,mL,"['125 mg', '5ml']"
SERTRALINE,150,Oral,mg,ON,Oral Suspension,50 mg/5ml,1013840,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['50 mg', '5ml']"
DOCUSATE,100,NG,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
DOCUSATE,200,NG,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
DOCUSATE,100,NG,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
SERTRALINE,150,NG,mg,OM,Oral Suspension,50 mg/5ml,1013840,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['50 mg', '5ml']"
SERTRALINE,150,NG,mg,ON,Oral Suspension,50 mg/5ml,1013840,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['50 mg', '5ml']"
FLUCLOXACILLIN,250,NG / PEG,mg,BD,Oral Solution,250 mg/5ml,1002884,N,INFECTIONS,05.01.01.02,Bottle,100,mL,"['250 mg', '5ml']"
FERROUS FUMARATE,280,Oral,mg,ON,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
DEXAMETHASONE,"4,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,"4,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
CARBOCISTEINE,500,Oral,mg,BD,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
MELATONIN,2,Oral,mg,OD,Oral Solution,5 mg/5ml,1018379,N,CENTRAL NERVOUS SYSTEM,04.01.01,Bottle,150,mL,"['5 mg', '5ml']"
